implementation,block_size,array_size,power_of_two,time_ms
EfficientBankOptimizedSharedMemScan,256,8189,0,0.0134144
EfficientCompact,256,8189,0,0.176026
CPUCompactWithScan,256,8189,0,0.03127
CPUCompactWithoutuScan,256,8189,0,0.01134
RadixSort,256,8189,0,0.0753664
CPUScan,256,32765,0,0.00675
NaiveScan,256,32765,0,0.11104
ThrustScan,256,32765,0,0.0371392
EfficientScan,256,32765,0,0.388339
EfficientSharedMemScan,256,32765,0,0.042592
EfficientBankOptimizedSharedMemScan,256,32765,0,0.0389504
EfficientCompact,256,32765,0,0.196758
CPUCompactWithScan,256,32765,0,0.15536
CPUCompactWithoutuScan,256,32765,0,0.05429
RadixSort,256,32765,0,0.113571
CPUScan,256,131069,0,0.02977
NaiveScan,256,131069,0,0.118579
ThrustScan,256,131069,0,0.0477472
EfficientScan,256,131069,0,0.447466
EfficientSharedMemScan,256,131069,0,0.0447392
EfficientBankOptimizedSharedMemScan,256,131069,0,0.0427392
EfficientCompact,256,131069,0,0.26376
CPUCompactWithScan,256,131069,0,0.91422
CPUCompactWithoutuScan,256,131069,0,0.57563
RadixSort,256,131069,0,0.1316
CPUScan,256,1048573,0,0.34776
NaiveScan,256,1048573,0,0.24305
ThrustScan,256,1048573,0,0.127475
EfficientScan,256,1048573,0,0.603056
EfficientSharedMemScan,256,1048573,0,0.0968768
EfficientBankOptimizedSharedMemScan,256,1048573,0,0.0834528
EfficientCompact,256,1048573,0,0.42945
CPUCompactWithScan,256,1048573,0,5.33821
CPUCompactWithoutuScan,256,1048573,0,1.92851
RadixSort,256,1048573,0,0.236144
CPUScan,256,4194301,0,1.91732
NaiveScan,256,4194301,0,1.40028
ThrustScan,256,4194301,0,0.179446
EfficientScan,256,4194301,0,1.0084
EfficientSharedMemScan,256,4194301,0,0.257606
EfficientBankOptimizedSharedMemScan,256,4194301,0,0.216342
EfficientCompact,256,4194301,0,0.955834
CPUCompactWithScan,256,4194301,0,19.3956
CPUCompactWithoutuScan,256,4194301,0,8.84729
RadixSort,256,4194301,0,1.42202
CPUScan,256,16777213,0,8.18109
NaiveScan,256,16777213,0,15.0227
ThrustScan,256,16777213,0,0.702128
EfficientScan,256,16777213,0,7.0073
EfficientSharedMemScan,256,16777213,0,0.0029728
EfficientBankOptimizedSharedMemScan,256,16777213,0,0.0029952
EfficientCompact,256,16777213,0,8.16237
CPUCompactWithScan,256,16777213,0,78.1366
CPUCompactWithoutuScan,256,16777213,0,35.9248
RadixSort,256,16777213,0,16.7439
CPUScan,256,67108861,0,41.9802
NaiveScan,256,67108861,0,70.7106
ThrustScan,256,67108861,0,2.96872
EfficientScan,256,67108861,0,25.8569
EfficientSharedMemScan,256,67108861,0,0.002896
EfficientBankOptimizedSharedMemScan,256,67108861,0,0.0027552
EfficientCompact,256,67108861,0,34.7935
CPUCompactWithScan,256,67108861,0,602.122
CPUCompactWithoutuScan,256,67108861,0,166.968
RadixSort,256,67108861,0,70.2384
